FACILITY_NAME,COUNTY,LATITUDE,LONGITUDE,Distance_to_Water_m,Risk_Category
AIR PRODUCTS MANUFACTURING LLC,LOS ANGELES,33.899538,-118.15141,2778.807922888337,Low Risk (>500m)
EQUILON CARSON TERMINAL,LOS ANGELES,33.83937,-118.23673,1715.5587024757026,Low Risk (>500m)
CLEAN HARBORS BUTTONWILLOW LLC,KERN,35.401811,-119.612789,2016.028722336853,Low Risk (>500m)
WABASH NATIONAL L.P.,RIVERSIDE,33.91684,-117.27524,1422.8314959166846,Low Risk (>500m)
OLYMPUS TERMINALS LLC,LOS ANGELES,33.751629,-118.208842,1213.3044248136573,Low Risk (>500m)
COLLINS PINE CO CHESTER SAWMILL,PLUMAS,40.30113,-121.23608,1142.9958804206221,Low Risk (>500m)
GARDENA PLANT 25,LOS ANGELES,33.90337,-118.22784,1118.1263312643537,Low Risk (>500m)
ROHM & HAAS CHEMICALS LLC,ALAMEDA,37.628889,-122.127222,1154.0052969705705,Low Risk (>500m)
ELK CO OF TEXAS LLC,KERN,35.49515,-119.16638,1807.9498996856735,Low Risk (>500m)
PHILLIPS 66 RICHMOND TERMINAL,CONTRA COSTA,37.909769,-122.366199,5034.2623613748965,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
HOLLIDAY ROCK-PALMDALE,LOS ANGELES,34.51682,-117.95568,606.3348496672945,Low Risk (>500m)
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,SOLANO,38.074434,-122.144397,755.9604036794849,Low Risk (>500m)
PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT,LOS ANGELES,33.808333,-118.245833,1088.3033078561125,Low Risk (>500m)
RECOLD,ORANGE,33.9198,-117.90582,141.27597216978336,Medium Risk (101-500m)
FUJIFILM ELECTRONIC MATERIALS USA INC.,MONTEREY,36.75394,-121.74037,427.962655510918,Medium Risk (101-500m)
SILGAN CONTAINERS MFG CORP,SACRAMENTO,38.510556,-121.467222,1680.77928808695,Low Risk (>500m)
ULTRAMAR INC WILMINGTON REFINERY,LOS ANGELES,33.780556,-118.235833,202.59590040285778,Medium Risk (101-500m)
AMPAC FINE CHEMICALS LLC,SACRAMENTO,38.614167,-121.215869,354.7104112477783,Medium Risk (101-500m)
CCI INC,LOS ANGELES,34.01225,-118.20808,597.5246595761366,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
HONEYWELL INTERNATIONAL INC,LOS ANGELES,33.85833,-118.32108,1761.8366014695766,Low Risk (>500m)
JOHNSON LAMINATING & COATING INC.,LOS ANGELES,33.84284,-118.253639,830.612932640593,Low Risk (>500m)
UNIVAR SOLUTIONS USA INC.,LOS ANGELES,33.9925,-118.133056,1884.4262544346036,Low Risk (>500m)
GRISWOLD INDUSTRIES DBA SOUNDCAST,LOS ANGELES,33.955888,-118.196121,2200.147526431869,Low Risk (>500m)
UNIVAR SOLUTIONS USA INC.,LOS ANGELES,33.9925,-118.133056,1884.4262544346036,Low Risk (>500m)
MOORE QUALITY GALVANIZING,MADERA,36.99313,-120.10424,860.4573767730448,Low Risk (>500m)
CHEVRON PRODUCTS CO RICHMOND REFINERY,CONTRA COSTA,37.938779,-122.396453,1721.6142148528543,Low Risk (>500m)
